city_ascii,state_id,state_name,lat,lng,population,id
New York,NY,New York,40.6943,-73.9249,18972871,1840034016
Los Angeles,CA,California,34.1141,-118.4068,12121244,1840020491
Chicago,IL,Illinois,41.8375,-87.6866,8595181,1840000494
Miami,FL,Florida,25.784,-80.2101,5711945,1840015149
Dallas,TX,Texas,32.7935,-96.7667,5668165,1840019440
Houston,TX,Texas,29.786,-95.3885,5650910,1840020925
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5512873,1840000673
Atlanta,GA,Georgia,33.7628,-84.422,5046555,1840013660
Washington,DC,District of Columbia,38.9047,-77.0163,4810669,1840006060
Boston,MA,Massachusetts,42.3188,-71.0852,4208580,1840000455
Phoenix,AZ,Arizona,33.5722,-112.0892,4047095,1840020568
Detroit,MI,Michigan,42.3834,-83.1024,3522856,1840003971
Seattle,WA,Washington,47.6211,-122.3244,3438221,1840021117
San Francisco,CA,California,37.7558,-122.4449,3290197,1840021543
San Diego,CA,California,32.8313,-117.1222,3084174,1840021990
Minneapolis,MN,Minnesota,44.9635,-93.2678,2856952,1840007830
Brooklyn,NY,New York,40.6501,-73.9496,2736074,1840034030
Tampa,FL,Florida,27.9945,-82.4447,2683956,1840015982
Denver,CO,Colorado,39.762,-104.8758,2650725,1840018789
Queens,NY,New York,40.7498,-73.7976,2405464,1840034002
Baltimore,MD,Maryland,39.3051,-76.6144,2205092,1840001592
Las Vegas,NV,Nevada,36.2333,-115.2654,2150373,1840020364
St. Louis,MO,Missouri,38.6359,-90.2451,2092481,1840001651
Portland,OR,Oregon,45.5371,-122.65,2036875,1840019941
Riverside,CA,California,33.9381,-117.3949,2022285,1840020551
Orlando,FL,Florida,28.4773,-81.337,1927699,1840015099
Sacramento,CA,California,38.5677,-121.4685,1924167,1840021491
San Juan,PR,Puerto Rico,18.3985,-66.061,1915105,1630035577
San Antonio,TX,Texas,29.4632,-98.5238,1910785,1840022220
San Jose,CA,California,37.3012,-121.848,1729879,1840021570
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1720279,1840001254
Cincinnati,OH,Ohio,39.1413,-84.506,1712287,1840003814
Manhattan,NY,New York,40.7834,-73.9662,1694263,1840034000
Cleveland,OH,Ohio,41.4764,-81.6805,1683059,1840000596
Indianapolis,IN,Indiana,39.7771,-86.1458,1659305,1840030084
Austin,TX,Texas,30.3005,-97.7522,1659251,1840019590
Kansas City,MO,Missouri,39.1238,-94.5541,1644497,1840008535
Columbus,OH,Ohio,39.9862,-82.9855,1556848,1840003760
Charlotte,NC,North Carolina,35.2083,-80.8303,1516107,1840014557
Virginia Beach,VA,Virginia,36.7335,-76.0435,1500764,1840003871
Bronx,NY,New York,40.8501,-73.8662,1472654,1840033999
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1340981,1840003046
Providence,RI,Rhode Island,41.823,-71.4187,1270149,1840003289
Jacksonville,FL,Florida,30.3322,-81.6749,1220191,1840015031
Salt Lake City,UT,Utah,40.7776,-111.9311,1135344,1840021383
Nashville,TN,Tennessee,36.1715,-86.7842,1098486,1840036155
Raleigh,NC,North Carolina,35.8324,-78.6429,1062018,1840014497
Memphis,TN,Tennessee,35.1087,-89.9663,1034498,1840015457
Louisville,KY,Kentucky,38.1663,-85.6485,1022630,1840030815
Richmond,VA,Virginia,37.5295,-77.4756,1008069,1840001698
Buffalo,NY,New York,42.9018,-78.8487,1004655,1840000386
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,994284,1840020428
Bridgeport,CT,Connecticut,41.1918,-73.1954,975078,1840004836
New Orleans,LA,Louisiana,30.0687,-89.9288,925443,1840001839
Fort Worth,TX,Texas,32.7817,-97.3474,908469,1840020696
Hartford,CT,Connecticut,41.7661,-72.6834,907046,1840004773
Tucson,AZ,Arizona,32.1541,-110.8787,875284,1840022101
McAllen,TX,Texas,26.2252,-98.2467,809002,1840021024
Omaha,NE,Nebraska,41.2627,-96.0529,806485,1840009315
El Paso,TX,Texas,31.8476,-106.43,794344,1840023252
Albuquerque,NM,New Mexico,35.1054,-106.6465,765693,1840019176
Rochester,NY,New York,43.168,-77.6162,737309,1840000373
Sarasota,FL,Florida,27.3387,-82.5432,727388,1840015988
Fresno,CA,California,36.783,-119.7939,719558,1840020319
Tulsa,OK,Oklahoma,36.1283,-95.9042,715983,1840021672
Allentown,PA,Pennsylvania,40.5961,-75.4756,714136,1840001044
Dayton,OH,Ohio,39.7805,-84.2003,709300,1840034249
Birmingham,AL,Alabama,33.5279,-86.7971,704676,1840006507
Charleston,SC,South Carolina,32.8168,-79.9687,685517,1840015163
Cape Coral,FL,Florida,26.6443,-81.9957,682773,1840015130
Columbia,SC,South Carolina,34.0378,-80.9036,640502,1840014730
Concord,CA,California,37.9722,-122.0016,640270,1840018905
Colorado Springs,CO,Colorado,38.8674,-104.7605,628808,1840018825
